]0;mongosh mongodb://127.0.0.1:27017/dba_proyectofinal?directConnection=true&serverSelectionTimeoutMS=2000codigo_municipio,fuente,total_edificios,area_total_m2,area_total_ha
76109,Google,103890,6891485.39,689.15
05837,Google,78926,5477478.64,547.75
18001,Google,58135,6605032.44,660.50
52835,Google,50493,3389967.27,339.00
23807,Google,43123,2796323.29,279.63
19130,Google,41281,2315228.89,231.52
19256,Google,38900,2201850.92,220.19
13244,Google,38386,2321846.54,232.18
05045,Google,36337,3265226.26,326.52
81794,Google,35958,2888626.56,288.86
19698,Google,35691,3458988.27,345.90
81065,Google,35077,2650609.10,265.06
20013,Google,34729,2471968.11,247.20
54810,Google,32843,2405810.37,240.58
95001,Google,32695,2842354.63,284.24
05490,Google,32173,2125311.08,212.53
19473,Google,31066,1768743.32,176.87
05154,Google,30474,2509761.77,250.98
19548,Google,30211,2359289.71,235.93
23466,Google,28089,2279036.77,227.90
86568,Google,27581,2391294.74,239.13
81736,Google,25140,1809774.32,180.98
23855,Google,25094,1555379.84,155.54
70713,Google,24592,1544535.75,154.45
86001,Google,22816,2015046.54,201.50
05665,Google,22034,1490793.45,149.08
13657,Google,21831,1317624.69,131.76
18753,Google,21599,2298148.35,229.81
13442,Google,20569,1330280.43,133.03
20400,Google,20110,1500418.35,150.04
13688,Google,18908,1350529.14,135.05
05172,Google,18871,1703525.50,170.35
73168,Google,18703,1551438.59,155.14
86320,Google,18074,1459360.19,145.94
19532,Google,17995,1345530.28,134.55
05147,Google,16657,1562812.41,156.28
70508,Google,16588,975217.15,97.52
86865,Google,16228,1340564.40,134.06
05736,Google,16158,1081119.33,108.11
18150,Google,15932,1667168.84,166.72
13670,Google,15636,1013483.13,101.35
81300,Google,15564,1206032.46,120.60
70823,Google,15330,880371.97,88.04
19137,Google,15303,1111536.63,111.15
05250,Google,14768,1189720.03,118.97
13654,Google,14706,888688.96,88.87
23580,Google,14553,1025141.79,102.51
19780,Google,14544,801485.03,80.15
54206,Google,14277,1013519.64,101.35
76275,Google,14231,1498973.82,149.90
70418,Google,13792,780937.24,78.09
19050,Google,13691,876854.77,87.69
19110,Google,13439,971759.34,97.18
54720,Google,13388,1003792.83,100.38
86885,Google,13366,1165663.10,116.57
05604,Google,13248,870166.66,87.02
20045,Google,12958,844411.07,84.44
76563,Google,12953,1401092.04,140.11
19075,Google,12679,792257.37,79.23
05120,Google,12425,880223.76,88.02
41020,Google,12338,1014646.68,101.46
18592,Google,12306,1191275.00,119.13
50711,Google,12234,971553.86,97.16
19142,Google,12220,1160168.39,116.02
86757,Google,12160,831391.25,83.14
13473,Google,11982,798746.27,79.87
